FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202403;513881387;ILZTR6A8G;85111000;DE;DE;10;EXW;11;3;;0,1;16;95;;
INTRA-CH;202403;513881387;BKR7EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;736;;
INTRA-CH;202403;513881387;R7437-8;85111000;DE;DE;10;EXW;11;3;;0,1;100;2911;;
INTRA-CH;202403;513881387;PFR7W-TG;85111000;DE;DE;10;EXW;11;3;;0,2;16;139;;
INTRA-CH;202403;513881387;C-AUD-004L;84099100;NL;NL;10;EXW;11;3;;15;1;1175;;
INTRA-CH;202403;513881387;E10-30-013-01-22;73202081;DE;DE;10;EXW;11;3;;9,4;1;108;;
INTRA-CH;202403;513881387;E10-30-013-01-22;73202081;DE;DE;10;EXW;11;3;;9,4;1;108;;
INTRA-CH;202403;513881387;E40-15-021-04-11;73202081;DE;DE;10;EXW;11;3;;9,4;2;923;;
INTRA-CH;202403;513881387;E40-15-021-01-11;73202081;DE;DE;10;EXW;11;3;;9,3;2;757;;
INTRA-CH;202403;513881387;E10-85-043-02-22;73202081;DE;DE;10;EXW;11;3;;10,8;1;138;;
INTRA-CH;202403;513881387;E10-35-020-02-22;73202081;DE;DE;10;EXW;11;3;;8,5;1;100;;
INTRA-CH;202403;513881387;E10-20-030-03-22;87088035;DE;DE;10;EXW;11;3;;13;1;119;;
INTRA-CH;202403;513881387;E10-57-002-01-22;73202081;DE;DE;10;EXW;11;3;;6,6;1;100;;
INTRA-CH;202403;513881387;E10-35-046-01-22;73202081;DE;DE;10;EXW;11;3;;8,2;1;118;;
INTRA-CH;202403;513881387;E8530-320;87088035;DE;DE;10;EXW;11;3;;14;1;308;;
INTRA-CH;202403;513881387;E90-30-013-01-22;73202081;DE;DE;10;EXW;11;3;;22,8;1;433;;
INTRA-CH;202403;513881387;E10-20-047-03-22;87088035;DE;DE;10;EXW;11;3;;9,4;2;252;;
INTRA-CH;202403;513881387;E10-35-020-02-22;73202081;DE;DE;10;EXW;11;3;;8,5;2;200;;
INTRA-CH;202403;513881387;E10-80-015-02-22;87088035;DE;DE;10;EXW;11;3;;7;1;108;;
INTRA-CH;202403;513881387;S90-4-20-013;87087050;DE;DE;10;EXW;11;3;;2,1;5;346;;
INTRA-CH;202403;513881387;S90-2-15-055-B;87087050;DE;DE;10;EXW;11;3;;1,8;6;264;;
INTRA-CH;202403;513881387;S90-4-15-014-B;87087050;DE;DE;10;EXW;11;3;;2,5;2;144;;
INTRA-CH;202403;513881387;S90-2-10-038-B;87087050;DE;DE;10;EXW;11;3;;1,8;1;44;;
INTRA-CH;202403;513881387;S-90-2-12-004-B-BT;87087050;DE;DE;10;EXW;11;3;;1;6;424;;
INTRA-CH;202403;513881387;S-90-2-15-017-B-BT;87087050;DE;DE;10;EXW;11;3;;1;4;283;;
INTRA-CH;202403;513881387;S-90-2-10-002-B-BT;87087050;DE;DE;10;EXW;11;3;;1;6;424;;
INTRA-CH;202403;513881387;SVW0607-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202403;513881387;SBW0261-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202403;513881387;SBW1162-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;95;;
INTRA-CH;202403;513881387;SVW0620-4P-Y;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202403;513881387;SVW0615-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202403;513881387;SFD0121-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202403;513881387;SMT0707-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202403;513881387;SVW0610-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202403;513881387;SBW0260-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;60;;
INTRA-CH;202403;513881387;SHD0012-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202403;513881387;SME0455-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;3;121;;
INTRA-CH;202403;513881387;SVW0610-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;4;164;;
INTRA-CH;202403;513881387;SMA0600-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202403;513881387;SME0465-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;34;;
INTRA-CH;202403;513881387;SBW0271-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,4;1;40;;
INTRA-CH;202403;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202403;513881387;SSE0250-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202403;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202403;513881387;SBW1170-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202403;513881387;STY0014-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202403;513881387;SAU0528-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202403;513881387;SILZKGR8C8S;85111000;DE;DE;10;EXW;11;3;;0,1;98;1253;;
