FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202404;513881387;UR-TW4-2141P;87088055;NL;NL;10;EXW;11;3;;2,6;1;82;;
INTRA-CH;202404;513881387;URTW-LA2-4009;87088055;NL;NL;10;EXW;11;3;;2;1;48;;
INTRA-CH;202404;513881387;UR-AR19-010;84099100;NL;NL;10;EXW;11;3;;4;1;115;;
INTRA-CH;202404;513881387;UR-RT2-261;84099100;NL;NL;10;EXW;11;3;;1,6;1;46;;
INTRA-CH;202404;513881387;UR-AR18-642;87088055;NL;NL;10;EXW;11;3;;4;1;133;;
INTRA-CH;202404;513881387;UR-AF25-085;84099100;NL;NL;10;EXW;11;3;;6,5;1;131;;
INTRA-CH;202404;513881387;UR-TW2-3047;87088055;NL;NL;10;EXW;11;3;;3;2;142;;
INTRA-CH;202404;513881387;UR-RL2-3304;87088055;NL;NL;10;EXW;11;3;;2;1;45;;
INTRA-CH;202404;513881387;UR-LA2-312A;84099100;NL;NL;10;EXW;11;3;;1,5;1;51;;
INTRA-CH;202404;513881387;UR-TW2-274A;84099100;NL;NL;10;EXW;11;3;;2,5;1;75;;
INTRA-CH;202404;513881387;URTW-ML4-4011;87088055;NL;NL;10;EXW;11;3;;2,5;1;68;;
INTRA-CH;202404;513881387;URTW-TW4-4008;87088055;NL;NL;10;EXW;11;3;;2,5;1;82;;
INTRA-CH;202404;513881387;UR-RE2-081;87088055;NL;NL;10;EXW;11;3;;2,5;1;60;;
INTRA-CH;202404;513881387;UR-LA2-3052;87088055;NL;NL;10;EXW;11;3;;2,2;1;40;;
INTRA-CH;202404;513881387;UR-FD3-041;84099100;NL;NL;10;EXW;11;3;;3;1;88;;
INTRA-CH;202404;513881387;URTW-LA4-4010;87088055;NL;NL;10;EXW;11;3;;3;1;71;;
INTRA-CH;202404;513881387;UR-LA4-259;84099100;NL;NL;10;EXW;11;3;;3;1;71;;
INTRA-CH;202404;513881387;UR-TW2-3653;87088055;NL;NL;10;EXW;11;3;;2,6;1;80;;
INTRA-CH;202404;513881387;UR-SD6-258;84099100;NL;NL;10;EXW;11;3;;2;1;88;;
INTRA-CH;202404;513881387;JE-338094;87082910;NL;NL;10;EXW;11;3;;3,6;1;769;;
INTRA-CH;202404;513881387;284779;87082910;NL;NL;10;EXW;11;3;;2,5;3;1393;;
INTRA-CH;202404;513881387;SAU0631-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;54;;
INTRA-CH;202404;513881387;SHD0394-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,8;2;216;;
INTRA-CH;202404;513881387;SHD0394-6P-RD;87083091;ES;ES;10;EXW;11;3;;0,8;1;108;;
INTRA-CH;202404;513881387;S-BM/T/32H;87089235;SI;SI;10;EXW;11;3;;30;1;4044;;
INTRA-CH;202404;513881387;S-TY/T/2;87089235;SI;SI;10;EXW;11;3;;28;1;2058;;
INTRA-CH;202404;513881387;E-TY/SS/3;87089235;SI;SI;10;EXW;11;3;;5,2;1;327;;
INTRA-CH;202404;513881387;GSGB0-91AA2;8708803590;FR;FR;10;EXW;11;3;;25;1;450;;
INTRA-CH;202404;513881387;VSTD8-K1LS1;8708803590;FR;FR;10;EXW;11;3;;26,5;1;579;;
INTRA-CH;202404;513881387;VSK82-C1SA4;8708803590;FR;FR;10;EXW;11;3;;26;1;394;;
INTRA-CH;202404;513881387;GSP04-8USS2;8708803590;FR;FR;10;EXW;11;3;;24;1;394;;
INTRA-CH;202404;513881387;GSM64-9USS2;87088020;FR;FR;10;EXW;11;3;;20;2;708;;
INTRA-CH;202404;513881387;VSTD8-C1SA4;8708803590;FR;FR;10;EXW;11;3;;26,5;2;1159;;
INTRA-CH;202404;513881387;VSN20-C1SA4;8708803590;FR;FR;10;EXW;11;3;;24;1;394;;
INTRA-CH;202404;513881387;GSGH2-91AS3;8708803590;FR;FR;10;EXW;11;3;;25;1;483;;
INTRA-CH;202404;513881387;VSAPQ-C1AS2;8708803590;FR;FR;10;EXW;11;3;;25;1;708;;
INTRA-CH;202404;513881387;VSHK8-K1NS4;8708803590;FR;FR;10;EXW;11;3;;25;1;1610;;
INTRA-CH;202404;513881387;VSH64-K1LS3;8708803590;FR;FR;10;EXW;11;3;;25;1;539;;
INTRA-CH;202404;513881387;GSP04-8USS2;8708803590;FR;FR;10;EXW;11;3;;24;1;394;;
INTRA-CH;202404;513881387;GSGB6-9VAS3;8708803590;FR;FR;10;EXW;11;3;;25;1;515;;
INTRA-CH;202404;513881387;GSV70-91SS2;8708803590;FR;FR;10;EXW;11;3;;25;1;450;;
INTRA-CH;202404;513881387;GSH48-91SS2;8708803590;FR;FR;10;EXW;11;3;;25;1;418;;
INTRA-CH;202404;513881387;SKE18-S3B00;84099100;FR;FR;10;EXW;11;3;;14;1;92;;
INTRA-CH;202404;513881387;SKN20-AVB00;84099100;FR;FR;10;EXW;11;3;;10;1;74;;
INTRA-CH;202404;513881387;SKTN0-S1B00;7320909090;FR;FR;10;EXW;11;3;;9,5;1;92;;
INTRA-CH;202404;513881387;VSP24-C1AA3;8708803590;FR;FR;10;EXW;11;3;;33;1;402;;
INTRA-CH;202404;513881387;GSJ78-91AS2;8708803590;FR;FR;10;EXW;11;3;;24;3;1352;;
INTRA-CH;202404;513881387;GSA22-9USS2;8708803590;FR;FR;10;EXW;11;3;;26;3;1159;;
INTRA-CH;202404;513881387;VSMD0-CUSA3;8708803590;FR;FR;10;EXW;11;3;;24;2;1078;;
INTRA-CH;202404;513881387;SKGD2-AVB00;84099100;FR;FR;10;EXW;11;3;;12;1;86;;
INTRA-CH;202404;513881387;SKGB2-S3B00;84099100;FR;FR;10;EXW;11;3;;9;1;69;;
INTRA-CH;202404;513881387;SKV70-S3B00;84099100;FR;FR;10;EXW;11;3;;8,5;1;106;;
INTRA-CH;202404;513881387;SKGL0-AUB00;84099100;FR;FR;10;EXW;11;3;;11;1;86;;
INTRA-CH;202404;513881387;SKG08-S3B00;84099100;FR;FR;10;EXW;11;3;;10;1;86;;
INTRA-CH;202404;513881387;GSH98-9USS2;8708803590;FR;FR;10;EXW;11;3;;20;1;370;;
INTRA-CH;202404;513881387;VSP92-C1AA3;8708803590;FR;FR;10;EXW;11;3;;35;1;402;;
INTRA-CH;202404;513881387;VSUB8-C1AA2;8708803590;FR;FR;10;EXW;11;3;;25;1;603;;
INTRA-CH;202404;513881387;VSSB2-C1SS4;8708803590;FR;FR;10;EXW;11;3;;25;1;571;;
INTRA-CH;202404;513881387;VSH64-C1SA3;8708803590;FR;FR;10;EXW;11;3;;25;1;539;;
INTRA-CH;202404;513881387;R-AUD-001-I;84099100;NL;NL;10;EXW;11;3;;3,5;1;360;;
INTRA-CH;202404;513881387;369928C;87082910;NL;NL;10;EXW;11;3;;3,6;1;1333;;
INTRA-CH;202404;513881387;VSE18-C1SA4;8708803590;FR;FR;10;EXW;11;3;;25;1;571;;
INTRA-CH;202404;513881387;VSY24-C1SA4;8708803590;FR;FR;10;EXW;11;3;;25;1;627;;
INTRA-CH;202404;513881387;VSHK8-K1NS4;8708803590;FR;FR;10;EXW;11;3;;25;1;1610;;
INTRA-CH;202404;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;120;960;;
INTRA-CH;202404;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;69;2086;;
INTRA-CH;202404;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;200;6048;;
INTRA-CH;202404;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;91;2751;;
INTRA-CH;202404;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;80;2419;;
INTRA-CH;202404;513881387;U5099;85111000;DE;DE;10;EXW;11;3;;0,3;26;1120;;
INTRA-CH;202404;513881387;RE9B-T;85111000;DE;DE;10;EXW;11;3;;0,1;12;239;;
INTRA-CH;202404;513881387;RC-HE64;85111000;DE;DE;10;EXW;11;3;;0,6;3;74;;
INTRA-CH;202404;513881387;R7438-9;84099100;DE;DE;10;EXW;11;3;;0,1;68;1949;;
INTRA-CH;202404;513881387;R7438-9;84099100;DE;DE;10;EXW;11;3;;0,1;22;630;;
INTRA-CH;202404;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;2;16;;
INTRA-CH;202404;513881387;ILFR7H;85111000;DE;DE;10;EXW;11;3;;0,2;29;282;;
INTRA-CH;202404;513881387;ILFR7H;85111000;DE;DE;10;EXW;11;3;;0,2;12;116;;
INTRA-CH;202404;513881387;IFR7X8G;85111000;DE;DE;10;EXW;11;3;;0,2;48;540;;
INTRA-CH;202404;513881387;ILZTR6A8G;85111000;DE;DE;10;EXW;11;3;;0,1;14;88;;
INTRA-CH;202404;513881387;ILZKAR8H8S;85111000;DE;DE;10;EXW;11;3;;0,1;3;38;;
INTRA-CH;202404;513881387;SILFER8C7ES;85111000;DE;DE;10;EXW;11;3;;0,1;100;987;;
INTRA-CH;202404;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;16;128;;
INTRA-CH;202404;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;1;18;;
INTRA-CH;202404;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;200;3628;;
INTRA-CH;202404;513881387;R-AUD-010-I-5;84099100;NL;NL;10;EXW;11;3;;3,5;1;442;;
INTRA-CH;202404;513881387;PF04;90262020;ES;ES;10;EXW;11;3;;0,2;21;2772;;
INTRA-CH;202404;513881387;PF05;90262020;ES;ES;10;EXW;11;3;;0,2;13;1872;;
INTRA-CH;202404;513881387;353850;87082910;NL;NL;10;EXW;11;3;;2,5;2;1025;;
INTRA-CH;202404;513881387;R-AUD-001-I;84099100;NL;NL;10;EXW;11;3;;3,5;1;360;;
INTRA-CH;202404;513881387;JE-338094;87082910;NL;NL;10;EXW;11;3;;3,6;1;769;;
INTRA-CH;202404;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SVW0622-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202404;513881387;SVW0620-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SVW0608-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202404;513881387;SHD0012-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;4;161;;
INTRA-CH;202404;513881387;SBW1171-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202404;513881387;SBW1171-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202404;513881387;SAU0431-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202404;513881387;SVW1070-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202404;513881387;SBW0260-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;60;;
INTRA-CH;202404;513881387;SVW0610-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202404;513881387;SMA0112-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;74;;
INTRA-CH;202404;513881387;SRN0616-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SBW1176-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;60;;
INTRA-CH;202404;513881387;SVW0607-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202404;513881387;SBW1171-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202404;513881387;SVA1350-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;52;;
INTRA-CH;202404;513881387;SBW0261-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SBW0261-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202404;513881387;SSE0250-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;5;205;;
INTRA-CH;202404;513881387;SVW0707-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,4;1;40;;
INTRA-CH;202404;513881387;SHY0900-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,8;2;80;;
INTRA-CH;202404;513881387;STY0014-1P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;35;;
INTRA-CH;202404;513881387;SHY0800-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,8;4;161;;
INTRA-CH;202404;513881387;SSE0433-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;4;161;;
INTRA-CH;202404;513881387;SBW1171-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SAU0490-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202404;513881387;SAU0496-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202404;513881387;SAU0900-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;40;;
INTRA-CH;202404;513881387;TTE500+;84099100;DE;DE;10;EXW;11;3;;15;1;1461;;
INTRA-CH;202404;513881387;TTE480;84099100;DE;DE;10;EXW;11;3;;16,5;2;3136;;
INTRA-CH;202404;513881387;TTEIS38;84099100;DE;DE;10;EXW;11;3;;12,4;1;1310;;
INTRA-CH;202404;513881387;23PVM001;87083091;NL;NL;10;EXW;11;3;;3;2;119;;
INTRA-CH;202404;513881387;27PBDR33001;87083091;NL;NL;10;EXW;11;3;;15,5;1;273;;
INTRA-CH;202404;513881387;20AU33006X-RD;87083091;NL;NL;10;EXW;11;3;;40;1;784;;
INTRA-CH;202404;513881387;20MN33002X-RD;87089997;NL;NL;10;EXW;11;3;;27;2;1568;;
INTRA-CH;202404;513881387;20AU33002X-RD;87089997;NL;NL;10;EXW;11;3;;30;2;1568;;
INTRA-CH;202404;513881387;"60 AV 13";87083091;NL;NL;10;EXW;11;3;;21;2;445;;
INTRA-CH;202404;513881387;20VW33006X-BL;87089997;NL;NL;10;EXW;11;3;;26,7;2;1568;;
INTRA-CH;202404;513881387;DILKAR7C9H;85111000;DE;DE;10;EXW;11;3;;0,1;60;606;;
INTRA-CH;202404;513881387;LTR7IX-11;85111000;DE;DE;10;EXW;11;3;;0,2;32;220;;
INTRA-CH;202404;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;60;1015;;
INTRA-CH;202404;513881387;U5400;85111000;DE;DE;10;EXW;11;3;;0,4;8;254;;
INTRA-CH;202404;513881387;JE-314323;87082910;NL;NL;10;EXW;11;3;;3,8;1;769;;
INTRA-CH;202404;513881387;E10-20-052-03-22;87088035;DE;DE;10;EXW;11;3;;11,3;1;161;;
INTRA-CH;202404;513881387;E10-20-052-03-22;87088035;DE;DE;10;EXW;11;3;;11,3;1;161;;
INTRA-CH;202404;513881387;E20-15-021-02-22;73202081;DE;DE;10;EXW;11;3;;8,4;3;391;;
INTRA-CH;202404;513881387;E10-20-030-02-22;87088035;DE;DE;10;EXW;11;3;;13;1;119;;
INTRA-CH;202404;513881387;E10-20-030-02-22;87088035;DE;DE;10;EXW;11;3;;13;1;119;;
INTRA-CH;202404;513881387;E10-15-014-04-22;87088035;DE;DE;10;EXW;11;3;;10;2;242;;
INTRA-CH;202404;513881387;E10-85-041-01-22;73202081;DE;DE;10;EXW;11;3;;8,5;3;391;;
INTRA-CH;202404;513881387;E20-15-021-02-22;73202081;DE;DE;10;EXW;11;3;;8,4;1;130;;
INTRA-CH;202404;513881387;E20-15-021-02-22;73202081;DE;DE;10;EXW;11;3;;8,4;2;260;;
INTRA-CH;202404;513881387;E10-20-040-03-22;87088035;DE;DE;10;EXW;11;3;;13;1;191;;
INTRA-CH;202404;513881387;E10-15-009-01-22;73202081;DE;DE;10;EXW;11;3;;8,6;1;121;;
INTRA-CH;202404;513881387;E20-81-016-04-22;73202081;DE;DE;10;EXW;11;3;;7,7;2;220;;
INTRA-CH;202404;513881387;E10-20-016-03-22;87088035;DE;DE;10;EXW;11;3;;10,8;1;152;;
INTRA-CH;202404;513881387;E10-42-052-03-22;73202081;DE;DE;10;EXW;11;3;;8,9;1;130;;
INTRA-CH;202404;513881387;E20-85-051-05-22;73202081;DE;DE;10;EXW;11;3;;8,7;1;138;;
INTRA-CH;202404;513881387;E10-85-024-02-22;73202081;DE;DE;10;EXW;11;3;;7,8;1;96;;
INTRA-CH;202404;513881387;S90-2-12-023-B-BT;87087050;DE;DE;10;EXW;11;3;;1,8;3;132;;
INTRA-CH;202404;513881387;PF04;90262020;ES;ES;10;EXW;11;3;;0,2;19;2508;;
INTRA-CH;202404;513881387;PF05;90262020;ES;ES;10;EXW;11;3;;0,2;2;288;;
INTRA-CH;202404;513881387;S-AU/TI/20H;87089997;SI;SI;10;EXW;11;3;;24,9;1;5815;;
INTRA-CH;202404;513881387;S-BM/T/35H;10;SI;SI;10;EXW;11;3;;26;1;4544;;
INTRA-CH;202404;513881387;S-AU/TI/24H;87089235;SI;SI;10;EXW;11;3;;23,2;1;4312;;
INTRA-CH;202404;513881387;SILZKGR8C8S;85111000;DE;DE;10;EXW;11;3;;0,1;100;1279;;
INTRA-CH;202404;513881387;SILZKGR8C8S;85111000;DE;DE;10;EXW;11;3;;0,1;2;25;;
INTRA-CH;202404;513881387;SILFER8C7ES;85111000;DE;DE;10;EXW;11;3;;0,1;41;404;;
INTRA-CH;202404;513881387;SILFER8C7ES;85111000;DE;DE;10;EXW;11;3;;0,1;12;118;;
INTRA-CH;202404;513881387;U5001;85111000;DE;DE;10;EXW;11;3;;0,3;20;300;;
INTRA-CH;202404;513881387;ILZKR8C8G;85111000;DE;DE;10;EXW;11;3;;0,1;20;147;;
INTRA-CH;202404;513881387;U5020;85111000;DE;DE;10;EXW;11;3;;0,2;2;39;;
INTRA-CH;202404;513881387;RE8C-L;85111000;DE;DE;10;EXW;11;3;;0,1;10;183;;
INTRA-CH;202404;513881387;ILFR7H;85111000;DE;DE;10;EXW;11;3;;0,2;12;116;;
INTRA-CH;202404;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;755;;
INTRA-CH;202404;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;338;6131;;
INTRA-CH;202404;513881387;DILKAR8R9HS;85111000;DE;DE;10;EXW;11;3;;0,1;42;499;;
INTRA-CH;202404;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;278;2224;;
INTRA-CH;202404;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;71;568;;
INTRA-CH;202404;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;24;435;;
INTRA-CH;202404;513881387;110282;27101999;ES;ES;10;EXW;11;3;;1;12;83;;
INTRA-CH;202404;513881387;5W40;27101999;ES;ES;10;EXW;11;3;;1,9;20;433;;
INTRA-CH;202404;513881387;10w60-5;27101999;ES;ES;10;EXW;11;3;;4,7;12;260;;
INTRA-CH;202404;513881387;5w30;27101999;ES;ES;10;EXW;11;3;;1,9;10;227;;
INTRA-CH;202404;513881387;110859;27101999;ES;ES;10;EXW;11;3;;2,1;20;433;;
INTRA-CH;202404;513881387;RBF660;27101999;ES;ES;10;EXW;11;3;;0,6;36;246;;
INTRA-CH;202404;513881387;RBF700;27101999;ES;ES;10;EXW;11;3;;0,6;12;82;;
